"ID","Name","Existing practice","Existing muscle assignments","Every qualifying new category","Primary scheduling category","Training rationale","Decision","Demonstration or naming concerns","Confidence"
"914","Alternating Diagonal Knee Pull-Down","Standing mobility and movement practice","Core","Balance;Strength;Stamina;Stepping","Stamina","Fast alternating knee drives provide rhythmic large-muscle demand while training foot clearance, balance, and trunk or hip local endurance.","Keep","Name understates the conditioning nature, but demonstration is clear and naturally alternating.","High"
"915","Alternating Split-Stance Knee Drive with Overhead Reach","Standing mobility and movement practice","Core;HipFlexors;Trapezius","Balance;Strength;Stamina;Stepping","Stepping","Repeated movement from split stance into knee drive directly trains step initiation and recovery, with balance, leg strength, and stamina demands.","Keep","Accurate human demonstration; no material concern.","High"
"939","Alternating Hinge-to-Knee Drive","Standing mobility and movement practice","Core;Hamstrings;LowerBack;HipFlexors","Balance;Strength;Stamina;Stepping;Mobility","Balance","Single-leg hinge-to-drive transitions strongly challenge balance while training posterior-chain strength, stepping, stamina, and hip-hinge range.","Keep","Accurate, substantial, naturally alternating full-body movement.","High"
"943","Alternating Knee-Up Arms Raise","Bodyweight conditioning","Core;Shoulders;HipFlexors","Balance;Stepping;Stamina","Stamina","Continuous high-knee marching with arm raises trains rhythmic stamina, foot clearance, and dynamic balance.","Keep","Unloaded arm raises should not be treated as shoulder strength, but the primary conditioning action is clear.","High"
"948","Alternating Standing Wood Chop","Standing mobility and movement practice","Core;MidBack","","","The current asset violates the catalog's zero-equipment condition and cannot be treated as a qualified Nomadic Method exercise.","Remove","Verified demonstration visibly uses a handheld weight despite metadata declaring no equipment.","High"
"949","Alternating Standing Reverse Wood Chop","Standing mobility and movement practice","Core;MidBack","","","The current asset violates the zero-equipment condition and therefore cannot qualify in any frozen category.","Remove","Verified demonstration visibly uses a handheld weight despite metadata declaring no equipment.","High"
"954","Alternating Torso Rotation with Side Reach","Standing mobility and movement practice","Core;MidBack","Mobility","Mobility","Alternating trunk rotation and reach train usable thoracic and shoulder range.","Keep","Accurate human demonstration; no material concern.","High"
"958","Standing Alternating Side Bend","Bodyweight conditioning","Core","Mobility","Mobility","Repeated controlled lateral flexion trains lateral trunk range.","Keep","Low loading means this should not be classified as core strength; demonstration is otherwise clear.","High"
"960","Alternating Heel Tap with Opposite Hand","Hand therapy and mobility","Core;HipFlexors","Balance;Stepping;Stamina","Balance","Alternating cross-body high-leg taps require single-support control, foot clearance, and continuous coordinated movement.","Keep","Existing practice label is plainly wrong; the name may not precisely describe whether the hand contacts heel, foot, or knee.","Medium"
"962","Alternating Standing Knee-to-Elbow Crunch","Bodyweight conditioning","Core;HipFlexors","Balance;Strength;Stamina;Stepping","Strength","Repeated knee-to-elbow actions train trunk and hip local endurance while adding balance, foot-clearance, and conditioning demand.","Keep","Accurate human demonstration; no material concern.","High"
"969","Chair-Pose Core Hold","Standing mobility and movement practice","Core;Quadriceps","Strength","Strength","A sustained chair-pose squat creates meaningful lower-body and trunk local muscular endurance.","Keep","Configured hold frame correctly shows the final position; title could simply say Chair Pose Hold.","High"
"971","Horse-Stance Core Hold","Standing mobility and movement practice","Glutes;Core;Quadriceps;Adductors","Strength;Mobility","Strength","A deep wide horse-stance hold trains lower-body local endurance while maintaining substantial hip range.","Keep","Name overemphasizes core relative to the obvious leg demand; configured hold frame is accurate.","High"
"973","Alternating Reverse-Lunge Torso Twist","Bodyweight conditioning","Glutes;Core;Quadriceps;HipFlexors;MidBack","Balance;Strength;Stamina;Stepping;Mobility","Strength","Alternating reverse lunges with rotation train lower-body strength, directional stepping, balance, stamina, and hip or trunk mobility.","Keep","Accurate, substantial, naturally alternating full-body demonstration.","High"
"986","Karate Kiba-Dachi Brace","Karate","Glutes;Core;Quadriceps;Adductors","Strength;Mobility","Strength","The sustained deep horse-riding stance trains lower-body local endurance while requiring wide-stance hip range.","Keep","Specialist name is translated in the source overlay; configured hold frame is accurate.","High"
"987","Karate Shiko-Dachi Core Brace","Karate","Glutes;Core;Quadriceps;Adductors","Strength;Mobility","Strength","The sustained wide, turned-out stance trains lower-body local endurance and hip mobility.","Keep","Specialist name and framing are less immediately accessible, but the human posture and hold are clear.","High"
"1000","Standing Forward-Fold Hold","Stretching","Hamstrings;LowerBack","Mobility","Mobility","The settled standing forward-fold hold trains posterior-chain mobility.","Keep","The reviewed final-position frame shows the completed fold and the explicit hold name matches playback.","High"
